sentence	label
Animal work has reported acute suppression of detrusor contractions using both dorsal root and $STRUCTURE$ stimulation in rats, whilst stimulation of $STRUCTURE$ was unable to suppress detrusor activity (Ren et al., 2016).	0
It has been reported that $STRUCTURE$ stimulation (VNS) can protect against I/R injuries in multiple organs, including the heart, $STRUCTURE$ and cerebra, through its anti-inflammatory properties (Zhao et al., 2013; Inoue et al., 2016; Xu et al., 2018).	1
Further samples of $STRUCTURE$ roots and DRG as well as the oculomotor nerve (CNIII), $STRUCTURE$ (CNVm/o), brachial plexus, sciatic and vagus nerve were cut into 1- to 2-cm segments and immersed in 2.5% glutaraldehyde in 0.1 M Soerensen's phosphate buffer (ph 7.4) for 1 hour.	0
By contrast, the somatosensory cortex, fastigial nucleus of the cerebellum, $STRUCTURE$, and the mesencephalic nucleus of the $STRUCTURE$ are important for proprioception.	0
Edgeworth, using the dog as a model animal; from which he determined that the nerve supply to the $STRUCTURE$ came primarily from the $STRUCTURE$, as well as sympathetic fibers from the celiac ganglia [114].	0
Additional samples of the coeliac ganglion, $STRUCTURE$, mesenteric and mandibular lymph nodes and $STRUCTURE$ were included from the experimentally infected animals and sentinels.	0
At preclinical stages of the disease in sheep, prion immunolabeling is found in CVOs (AP, $STRUCTURE$, SFO, $STRUCTURE$, pineal gland and neurohypophysis) at the same time as in the dorsal motor nucleus of the vagus nerve, and before prion spread into the surrounding tissues (94).	0
In patients with chickenpox, the virus enters the $STRUCTURE$ through sensory branches of the $STRUCTURE$ located in the ear and tongue.	0
Expression heatmap of the top 20 human genes showing increased expression with age across 9 tissues (subcutaneous adipose, tibial artery, left ventricle heart, $STRUCTURE$, skeletal muscle, tibial nerve, skin from sun exposed lower leg, $STRUCTURE$, and whole blood) analyzed by RNA-seq of the GTEx consortium.	0
The afferent innervation of the lower urinary tract is carried in three sets of nerves: the $STRUCTURE$ and hypogastric nerves, which innervate the urinary bladder and $STRUCTURE$, and the pudendal nerves, which innervate the mid-distal urethra and the external urethral sphincter (EUS) (10).	1
During the resection of the mesial structures, an ultrasonic aspirator is used at a low setting to avoid injury to the arachnoid that overlay the $STRUCTURE$ (PCA), the $STRUCTURE$, the third cranial nerve, and the midbrain.	0
Splanchnic nerve plexus is an autonomic nerve plexus supplying upper abdominal organs ($STRUCTURE$, $STRUCTURE$, gallbladder, pancreas).	0
It has been reported that vagal nerve stimulation (VNS) can protect against I/R injuries in multiple organs, including the heart, $STRUCTURE$ and $STRUCTURE$, through its anti-inflammatory properties (Zhao et al., 2013; Inoue et al., 2016; Xu et al., 2018).	0
In 100% of the cases investigated, Lachman et al. found the CPMR failed to join the spinal root of the $STRUCTURE$, and instead merged with other vagal rootlets to form the superior ganglion of the $STRUCTURE$.	0
Recovered cases also had evidence of significant neuronal loss in prevertebral and $STRUCTURE$ and in the enteric plexuses of the small intestine, particularly the $STRUCTURE$.	0
Many vulnerable structures surround this sinus, for example, Proetz mentioned the dura mater, $STRUCTURE$ (III, IV, V1, V2, and VI), optic nerve and $STRUCTURE$, internal carotid artery, cavernous sinus, pituitary gland, sphenopalatine ganglion, sphenopalatine artery, and pterygoid canal [1].	0
The mass superiorly displaced the optic chiasm and optic nerve, with anterior bowing of the $STRUCTURE$ (Fig. 1), and lateral bowing of the trigeminal nerve, $STRUCTURE$, and vestibularcochlear nerves bilaterally (Fig. 3).	0
The tissue types identified for modelling are: $STRUCTURE$, duodenum, jejunum, $STRUCTURE$, colon, mesenteric lymph nodes, mesenteric nerves and the celiac and mesenteric ganglion complex (CMGC).	0
They are distributed in the hepatic artery, $STRUCTURE$, liver interior and extrahepatic bile duct; the sympathetic nerve originates from celiac ganglia, while the $STRUCTURE$ comes from the vagus nerve[12].	0
High levels of CRF immunoreactivity also are observed outside of the hypothalamus in other forebrain regions, such as the olfactory bulb, cerebral cortex, nucleus accumbens, septum, $STRUCTURE$ (BNST), preoptic nuclei, $STRUCTURE$, and hippocampus [30-32].	0
Importantly, the distribution of PPARγ expression includes the hippocampus, corpus striatum, hypothalamic paraventricular nucleus, basal ganglia, thalamus, and piriform cortex [12]; some of these $STRUCTURE$ regions are also innervated by afferent fibers of the $STRUCTURE$.	1
Extraplexal nerve transfers mainly include intercostal nerve transfer [21], $STRUCTURE$ transfer [1], $STRUCTURE$ transfer [10] and cC7 transfer [11].	0
Aromatase is located in the hypothalamus and limbic system, including the medial preoptic area (mPOA), bed nucleus of the stria terminalis, $STRUCTURE$, $STRUCTURE$ (AMY), and many other areas (Beyer et al., 1994; Shinoda et al., 1994; Veney and Rissman, 2000).	0
The aforementioned functional disorders may occur after bilateral laryngeal nerve palsy during excision of bilateral VPGLs; therefore, accurate $STRUCTURE$ ($STRUCTURE$, X, XII) examination is important before treating contralateral tumors [19].	0
Differences in c-fos+ cell counts between the Vehicle-SPS and Vehicle-Sham groups in selected regions of the cerebral cortex, the bed nucleus of the stria terminalis, the $STRUCTURE$, the thalamus, the $STRUCTURE$, the hindbrain and the midbrain are shown.	0
The $STRUCTURE$ originate from the $STRUCTURE$ located in the pons through the nervous intermedius of the facial nerve.	1
The limbic structures (hippocampus, amygdala, $STRUCTURE$, fornix, stria terminalis, parahippocampal gyrus, and $STRUCTURE$) formed a single cluster.	0
The afferent innervation of the lower urinary tract is carried in three sets of nerves: the pelvic and hypogastric nerves, which innervate the $STRUCTURE$ and proximal urethra, and the $STRUCTURE$ nerves, which innervate the mid-distal urethra and the external urethral sphincter (EUS) (10).	0
Frontal section of the $STRUCTURE$ from 54-day-old, V: trigeminal nerve, H: hindbrain, M: midbrain, Vn: trigeminal nucleus, Pro: profundus nerve, X: $STRUCTURE$, PLLn: posterior lateral line nerve (H & ELateral line nerve (LLn) contained anterior lateral line (ALLn) and posterior lateral line (PLLn).	0
These include the LS, preoptic area (POA), central and medial amygdala (CeA and MeA), bed nucleus of the stria terminalis (BST), anterior hypothalamus (AH), ventromedial hypothalamus (VMH), and $STRUCTURE$ (i.e., $STRUCTURE$, PAG) (Newman, 1999; Goodson, 2005).	0
CRH-BP is predominantly expressed in the cerebral cortex, although there are some prominent sites of expression in the $STRUCTURE$, the bed nucleus of the $STRUCTURE$, the dorsomedial and ventral premammillary nuclei and several raphe nuclei (Potter et al., 1992).	0
The sensory fibers that innervate the lower urinary tract extend from the $STRUCTURE$ wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, $STRUCTURE$, and pudendal nerves and convey sensory information regarding the degree of bladder distension.	1
CCK is secreted from I-type enteroendocrine cells in the duodenum and small intestine to $STRUCTURE$ where it binds to CCK receptors on the vagus nerve terminal, transferring satiety signals to the hypothalamus via the brainstem and $STRUCTURE$ [34].	0
The Glu innervation to the VTA includes afferents from the prefrontal cortex, the lateral hypothalamus, medial habenula, bed nucleus of the stria terminalis, dorsal raphe, $STRUCTURE$, and $STRUCTURE$ [21,22,23,24,25,26,27].	0
A series of coronal sections were obtained from the nucleus accumbens (NAc), the VTA, the $STRUCTURE$ (LHA), the $STRUCTURE$ (ARC), the nucleus of the solitary tract (NTS), and the dorsal motor nucleus of the vagus (DMV), according to a rat brain atlas (Paxinos and Watson, 2007).	0
It consists of paired rhinophoral, cerebral, pleural, pedal and buccal ganglia and three unpaired ganglia on the $STRUCTURE$ cord, tentatively identified as left parietal ganglion, median fused visceral and $STRUCTURE$ and right fused parietal and supraintestinal ganglion (Figure 3A).	0
Vocal fold paralysis (VFP) may result from injury to the vagus or the $STRUCTURE$ anywhere along their course from the $STRUCTURE$ to the larynx.	1
The $STRUCTURE$ (cranial nerve, CN III), trochlear nerve (CN IV), ophthalmic (V1) and maxillary (V2) branches of the $STRUCTURE$ (CN V) pass through the later wall of the cavernous sinus while the abducens nerve (CN VI) and carotid artery pass through the cavernous sinus.	0
Secreted CCK from the fundus of the $STRUCTURE$ is known to stimulate $STRUCTURE$ secretion through the afferent pathway of the vagus nerve (Li and Owyang, 1993; Eastwood et al., 1998).	1
In the lateral ventricle, the $STRUCTURE$ is formed by papillary protrusion of the leptomeninges toward the inside of the ventricular cavity, where they bridge the $STRUCTURE$ and medial amygdala.	1
High levels of CRF immunoreactivity also are observed outside of the hypothalamus in other forebrain regions, such as the olfactory bulb, cerebral cortex, nucleus accumbens, $STRUCTURE$, bed nucleus of the stria terminalis (BNST), $STRUCTURE$, amygdala, and hippocampus [30-32].	0
CRH-BP is predominantly expressed in the cerebral cortex, although there are some prominent sites of expression in the amygdala, the $STRUCTURE$, the $STRUCTURE$ and ventral premammillary nuclei and several raphe nuclei (Potter et al., 1992).	0
For subcortical nuclei, increased methylation of NR4A1 in TLE patients were linked with decreased GMV in thalamus and putamen, lower FA in fornix (cres)/stria terminalis (FX/ST), internal capsule, and $STRUCTURE$, together with reduced FC among thalamus, putamen, and $STRUCTURE$.	0
In July 2006 he underwent surgery of the brachial plexus lesion, with nerve transfers of the distal spinal accessory to $STRUCTURE$ and the $STRUCTURE$ to musculocutaneous nerve.	0
TG is a sensory ganglion of the trigeminal nerve (the Vth cranial nerve), and that gives off the $STRUCTURE$ (V1), $STRUCTURE$ (V2), and part of the mandibular (V3) nerves.	0
The clinical picture can involve any dermatome, but the preferred sites are the thoracic or $STRUCTURE$ segments and the distribution area of the $STRUCTURE$.	0
The IHC in this case demonstrated the presence of accumulations of CWD‐associated prion protein (PrPCWD) in tissue sections of the medulla oblongata at the level of the $STRUCTURE$ (dorsal motor nucleus of the $STRUCTURE$) and in retropharyngeal lymph node (RPLN).	0
Abbreviations: HGN $STRUCTURE$, IMG inferior mesenteric ganglion, PG pelvic ganglion, PN $STRUCTURE$, CPN common pelvic nerve, LSpl lumbar splanchnic nerves, RC ramus communicans, SC spinal cord, PV paravertebral chain.	0
There are several non-hepatic arteries originating from the $STRUCTURE$, including the accessory left gastric artery, right gastric artery, cystic artery, $STRUCTURE$, and left inferior phrenic artery (27).	0
Many vulnerable structures surround this sinus, for example, Proetz mentioned the dura mater, $STRUCTURE$ (III, IV, V1, V2, and VI), optic nerve and chiasm, internal carotid artery, $STRUCTURE$, pituitary gland, sphenopalatine ganglion, sphenopalatine artery, and pterygoid canal [1].	0
Growth hormone secretagogue receptor type 1a, the receptor for ghrelin, is expressed in the nodose ganglia (Burdyga et al., 2006) and ghrelin has been shown to increase and decrease responses to distension in the $STRUCTURE$ (Murray et al., 2006) and $STRUCTURE$ (Page et al., 2007) respectively.	0
However, pathological studies showed that typically PD patients have lesions in other CNS and peripheral nervous system (PNS) structures [e.g. the enteric nervous system (ENS), the $STRUCTURE$, the $STRUCTURE$, the motor nucleus of the vagus or the amygdale] [1, 2].	0
"#p < 0.05. ##p < 0.001 between sham and axotomy within groupsTo study the injury-induced cellular and molecular neuroimmune changes in the SCG, the $STRUCTURE$ and $STRUCTURE$, the two major postganglionic nerves of the ganglia, were transected (Fig. 1k)."	0
Upper (1) and lower (2) right renal arteries can be seen (AA = Abdominal aorta, IVC = $STRUCTURE$ (reflected down), RIPA = $STRUCTURE$, RISA = Right inferior suprarenal artery, RSG = Right suprarenal gland).	0
The $STRUCTURE$ travels lateral to the cerebral peduncles and between the posterior cerebral and $STRUCTURE$ lateral to the oculomotor nerve prior to entering the cavernous sinus.	0
Relative to the TAU group, the CBT group showed a decrease in FC in the Fornix and $STRUCTURE$ of 10–20%, and in the $STRUCTURE$ of 20–25% (Figure 6).	0
The melatonin secretion pathway projects from the SCN to the $STRUCTURE$ (PVN) and on to the upper thoracic spinal cord, $STRUCTURE$, and pineal gland [11].	1
Aromatase is located in the $STRUCTURE$ and limbic system, including the $STRUCTURE$ (mPOA), bed nucleus of the stria terminalis, ventromedial hypothalamus, medial amygdala (AMY), and many other areas (Beyer et al., 1994; Shinoda et al., 1994; Veney and Rissman, 2000).	0
Neurons within the SFO directly project to various nuclei of the HYP (i.e., $STRUCTURE$, PVN, LH, $STRUCTURE$, lateral preoptic area) in addition to the infralimbic cortex, bed nucleus of the stria terminalis, zona inceta, and brain stem [191,192,193,194,195,196,197].	0
In Bachmann’s bundle pacing (junction of the roof right atrium atrial septum), the wave of depolarization rapidly traverses to the $STRUCTURE$ via the bundle and excites the left atrium and in the right atrium via crista terminalis to the whole $STRUCTURE$.	0
CA3 Pyramidal cell layer of hippocampal Ammon’s horn CA3 region, cc corpus callosum, CP caudate/putamen, fim $STRUCTURE$, ic internal capsule, LV $STRUCTURE$, st stria terminalis.	0
In particular, we found in healthy volunteers increases in the supplementary motor area of the lower body, the $STRUCTURE$ and $STRUCTURE$, as well as in the dorsal medulla where the NTS, the dorsal motor nucleus of the vagus nerve and some raphe nuclei are located.	0
