sentence	label
Animal work has reported acute suppression of detrusor contractions using both dorsal root and $STRUCTURE$ stimulation in rats, whilst stimulation of $STRUCTURE$ was unable to suppress detrusor activity (Ren et al., 2016).	False
It has been reported that $STRUCTURE$ stimulation (VNS) can protect against I/R injuries in multiple organs, including the heart, $STRUCTURE$ and cerebra, through its anti-inflammatory properties (Zhao et al., 2013; Inoue et al., 2016; Xu et al., 2018).	FC
Further samples of $STRUCTURE$ roots and DRG as well as the oculomotor nerve (CNIII), $STRUCTURE$ (CNVm/o), brachial plexus, sciatic and vagus nerve were cut into 1- to 2-cm segments and immersed in 2.5% glutaraldehyde in 0.1 M Soerensen's phosphate buffer (ph 7.4) for 1 hour.	False
By contrast, the somatosensory cortex, fastigial nucleus of the cerebellum, $STRUCTURE$, and the mesencephalic nucleus of the $STRUCTURE$ are important for proprioception.	False
Edgeworth, using the dog as a model animal; from which he determined that the nerve supply to the $STRUCTURE$ came primarily from the $STRUCTURE$, as well as sympathetic fibers from the celiac ganglia [114].	False
Additional samples of the coeliac ganglion, $STRUCTURE$, mesenteric and mandibular lymph nodes and $STRUCTURE$ were included from the experimentally infected animals and sentinels.	False
At preclinical stages of the disease in sheep, prion immunolabeling is found in CVOs (AP, $STRUCTURE$, SFO, $STRUCTURE$, pineal gland and neurohypophysis) at the same time as in the dorsal motor nucleus of the vagus nerve, and before prion spread into the surrounding tissues (94).	False
In patients with chickenpox, the virus enters the $STRUCTURE$ through sensory branches of the $STRUCTURE$ located in the ear and tongue.	False
Expression heatmap of the top 20 human genes showing increased expression with age across 9 tissues (subcutaneous adipose, tibial artery, left ventricle heart, $STRUCTURE$, skeletal muscle, tibial nerve, skin from sun exposed lower leg, $STRUCTURE$, and whole blood) analyzed by RNA-seq of the GTEx consortium.	False
The afferent innervation of the lower urinary tract is carried in three sets of nerves: the $STRUCTURE$ and hypogastric nerves, which innervate the urinary bladder and $STRUCTURE$, and the pudendal nerves, which innervate the mid-distal urethra and the external urethral sphincter (EUS) (10).	AC
During the resection of the mesial structures, an ultrasonic aspirator is used at a low setting to avoid injury to the arachnoid that overlay the $STRUCTURE$ (PCA), the $STRUCTURE$, the third cranial nerve, and the midbrain.	False
Splanchnic nerve plexus is an autonomic nerve plexus supplying upper abdominal organs ($STRUCTURE$, $STRUCTURE$, gallbladder, pancreas).	False
