PMID,DOI,Structure1,Structure2,Structure3,Structure4,Claim,Section of Paper,Species,Sex,Age,Age_Weight,Strain
PMID: 2713886,10.1007/bf00224723,bladder,Pelvic ganglia,,,"Brightly fluorescent neurons were observed in the major pelvic ganglion after injection of FB or FG into the bladder (Fig. 2),",Results,rat,male,adult,250-400 g,Wistar
,,bladder,Pelvic ganglia,,,"After injection of the bladder an average of 715_+ 126 neurons were labelled (6 ganglia). Large numbers of cells were found in all four quadrants of the major pelvic gang- lion, with no statistically significant preferential distribution in any particular one (Figs.l, 2, 5)",Results,rat,male,adult,250-400 g,Wistar
,,hypogastric nerve,Pelvic ganglia,,,"In two of these ganglia there appeared to  be a slightly greater density of cells  in areas 1 and 4 (i.e., on the side opposite the hypogastric nerve), while in one other ganglion the  reverse was  true (i.e., more cell clustered on the side of the hypogastric nerve).",Results,rat,male,adult,250-400 g,Wistar
PMID: 7644029,DOI: 10.1016/0306-4522(94)00595-v,Pelvic ganglia,hypogastric nerve,,,"Present observations are in agreement with those studies and, briefly, showed that all cell types were found throughout the MPG, but a major aggregate of TH/NPY neurons was located near the HGN entrance and VIP neurons were particularly clumped close to and within the penile (cavernous) nerve. ",Results,rat,male,Adult,180-300 g,Wistar
,,Pelvic ganglia,pelvic nerve,,,Pelvic nerve (PVN) lesion caused the disappearance of many synaptophysin nerve terminals within the MPG and neurons retaining innervation by synaptophysin terminals comprised about half (50.0 + 0.9%) of all pelvic neurons stained with PGP antiserum .,Results,rat,male,Adult,180-300 g,Wistar
,,Pelvic ganglia,hypogastric nerve,,,"and neurons retaining innervation by synaptophysin terminals comprised about half (50.0 + 0.9%) of all pelvic neurons stained with PGP antiserum .These innervated somata were found in clusters throughout the MPG, but were particularly numerous in the ventral MPG and near the HGN entrance. ",Results,rat,male,Adult,180-300 g,Wistar
,,Pelvic ganglia,hypogastric nerve,,,Clusters of somata devoid of any closely associated synaptophysin varicosities were particularly prevalent in the ventral MPG and near the HGN entrance. ,Results,rat,male,Adult,180-300 g,Wistar
,,Pelvic ganglia,hypogastric nerve,,,"Hypogastric nerve (HGN) lesion caused the disappearance of many synaptophysin nerve terminals within the MPG, ",Results,rat,male,Adult,180-300 g,Wistar
PMID: 1619047,10.1002/cne.903190411,"dorsal root ganglia (L1, L2, L6, and S1; in immediately adjacent ganglia (T13, L3, L5, and S2,)",bladder,,,"Labelled neurons were rarely found in ganglia other than L1, L2, L6, and S1; in immediately adjacent ganglia (T13, L3, L5, and S2,) a  maximum of 5-10, but more commonly 0-5 labelled neurons, were found.",Results,rat,male,Adult,250-400 g,Wistar
,,bladder,lumbar and sacral ganglia,,,"After injection of the bladder, dye-filled neurons (13-25 pm  diameter)  were  found in both  lumbar and sacral ganglia. ",Results,rat,male,Adult,250-400 g,Wistar
,,bladder,"dorsal root ganglia ( L6, and S1)",,,"The largest group exists in the lower lumbar-sacral  ganglia, mainly in L6, and S1,. ",Results,rat,male,Adult,250-400 g,Wistar
,,bladder,dorsal root ganglia ,,,"In three of six rats more labelled neurons were found in S1 than L6, although in the other animals the reverse was observed",Results,rat,male,Adult,250-400 g,Wistar
,,bladder,dorsal root ganglia (L1 and L2),,,"The second major aggregation of  dye-labelled neurons was in the upper lumbar ganglia, mainly at L1, and L2, levels. Fewer neurons were labelled in these smaller ganglia than in the larger, more caudal ganglia, but no significant differ- ence in distribution of bladder  afferent neurons could be distinguished between L1, and L2, .",Results,rat,male,Adult,250-400 g,Wistar
PMID: 4700666,10.1002/ar.1091750405,Pelvic ganglia,hypogastric nerve,,,The only nerve inputs to the  major pelvic ganglion were pelvic and hypogastric nerves.,Results,rat,male and female,adult,200 g,white
