Term,Identifier,Status,Comment,Synonyms
Cervical dorsal root ganglion,UBERON:0002834,Delete,,
Dorsal root ganglion,UBERON:0000044,Delete,,
Eighth cervical dorsal root ganglion,UBERON:0002844,Delete,,
Eighth thoracic dorsal root ganglion,UBERON:0002851,Delete,,
Eleventh thoracic dorsal root ganglion,UBERON:0002854,Delete,,
Fifth cervical dorsal root ganglion,UBERON:0002842,Delete,,
Fifth lumbar dorsal root ganglion,UBERON:0002859,Delete,,
Fifth sacral dorsal root ganglion,UBERON:0002863,Delete,,
Fifth thoracic dorsal root ganglion,UBERON:0002848,Delete,,
First cervical dorsal root ganglion,UBERON:0002838,Delete,,
First lumbar dorsal root ganglion,UBERON:0002857,Delete,,
First sacral dorsal root ganglion,UBERON:0002860,Delete,,
First thoracic dorsal root ganglion,UBERON:0002845,Delete,,
Forth lumbar dorsal root ganglion,,Delete,,
Fourth sacral dorsal root ganglion,,Delete,,
Fourth cervical dorsal root ganglion,UBERON:0002841,Delete,,
Fourth thoracic dorsal root ganglion,,Delete,,
Ganglion part of peripheral nervous system,UBERON:0024940,Delete,,
Grueneberg ganglion,UBERON:0013208,Delete,,
Inferior part of vestibular ganglion,UBERON:0002826,Delete,,
Lumbar dorsal root ganglion,UBERON:0002836,Delete,,
Ninth thoracic dorsal root ganglion,UBERON:0002852,Delete,,
Sacral dorsal root ganglion,UBERON:0002837,Delete,,
Second cervical dorsal root ganglion,UBERON:0002839,Delete,,
Second lumbar dorsal root ganglion,UBERON:0002856,Delete,,
Second sacral dorsal root ganglion,UBERON:0002861,Delete,,
Second thoracic dorsal root ganglion,UBERON:0002846,Delete,,
Seventh cervical dorsal root ganglion,UBERON:0002843,Delete,,
Seventh thoracic dorsal root ganglion,UBERON:0002850,Delete,,
Sixth cervical dorsal root ganglion,UBERON:0007711,Delete,,
Sixth thoracic dorsal root ganglion,UBERON:0002849,Delete,,
Superior part of vestibular ganglion,UBERON:0002825,Delete,,
Tenth thoracic dorsal root ganglion,UBERON:0002853,Delete,,
Third cervical dorsal root ganglion,UBERON:0002840,Delete,,
Third lumbar dorsal root ganglion,UBERON:0002858,Delete,,
Third sacral dorsal root ganglion,UBERON:0002862,Delete,,
Third thoracic dorsal root ganglion,UBERON:0002847,Delete,,
Thoracic dorsal root ganglion,UBERON:0002835,Delete,,
Twelfth thoracic dorsal root ganglion,UBERON:0002855,Delete,,
abdominal ganglion of visceral hump,UBERON:0008964,Delete,Think this is in snails,
abdominal ganglion,UBERON:0009758,Delete,,
adult cerebral ganglion,UBERON:6110636,Delete,,
anterior lateral line ganglion,UBERON:2001391,Delete,,
cervical dorsal root ganglion,UBERON:0002834,Delete,,
cervical ganglion,UBERON:0001991,Delete,,
cervicothoracic ganglion,UBERON:0002441,Delete,,
cochlear ganglion,UBERON:0000395,Delete,,
cranial ganglion,UBERON:0001714,Delete,,
cranial sensory ganglion,UBERON:0009992,Delete,,
dorsal anterior lateral line ganglion,UBERON:2001312,Delete,,
dorsal root ganglion,UBERON:0000044,Delete,,
eighth cervical dorsal root ganglion,UBERON:0002844,Delete,,
eighth thoracic dorsal root ganglion,UBERON:0002851,Delete,,
eleventh thoracic dorsal root ganglion,UBERON:0002854,Delete,,
enteric ganglion,UBERON:0001809,Delete,,
epibranchial ganglion,UBERON:0009127,Delete,,
fifth cervical dorsal root ganglion,UBERON:0002842,Delete,,
fifth lumbar dorsal root ganglion,UBERON:0002859,Delete,,
fifth sacral dorsal root ganglion,UBERON:0002863,Delete,,
fifth thoracic dorsal root ganglion,UBERON:0002848,Delete,,
first cervical dorsal root ganglion,UBERON:0002838,Delete,,
first lumbar dorsal root ganglion,UBERON:0002857,Delete,,
first sacral dorsal root ganglion,UBERON:0002860,Delete,,
first thoracic dorsal root ganglion,UBERON:0002845,Delete,,
fourth cervical dorsal root ganglion,UBERON:0002841,Delete,,
fourth lumbar dorsal root ganglion,UBERON:0003943,Delete,,
fourth sacral spinal ganglion,UBERON:0007713,Delete,,
fourth thoracic spinal ganglion,UBERON:0007712,Delete,,
future pterygopalatine ganglion,UBERON:0010128,Delete,,
ganglion of central nervous system,UBERON:0003339,Delete,,
ganglion of peripheral nervous system,UBERON:0003338,Delete,,
ganglion part of peripheral nervous system,UBERON:0024940,Delete,,
ganglion,UBERON:0000045,Delete,,
gasserian ganglion,UBERON:3011045,Delete,Synonym of trigeminal ganglion,
gastropod cerebral ganglion,UBERON:0008942,Delete,,
inferior part of vestibular ganglion,UBERON:0002826,Delete,,
insect embryonic/larval brain,,Delete,,
lateral line ganglion,UBERON:2000120,Delete,,
lumbar dorsal root ganglion,UBERON:0002836,Delete,,
maxillomandibular part of trigeminal ganglion complex,UBERON:0035601,Delete,,
middle lateral line ganglion,UBERON:2001483,Delete,,
ninth thoracic dorsal root ganglion,UBERON:0002852,Delete,,
parietal ganglion,UBERON:0008940,Delete,,
pedal ganglion,UBERON:0008939,Delete,,
pleural ganglion,UBERON:0008941,Delete,,
posterior lateral line ganglion,UBERON:2001314,Delete,,
profundal part of trigeminal ganglion complex,UBERON:0035599,Delete,,
sacral dorsal root ganglion,UBERON:0002837,Delete,,
second cervical dorsal root ganglion,UBERON:0002839,Delete,,
second lumbar dorsal root ganglion,UBERON:0002856,Delete,,
second sacral dorsal root ganglion,UBERON:0002861,Delete,,
second thoracic dorsal root ganglion,UBERON:0002846,Delete,,
sensory ganglion,UBERON:0001800,Delete,,
seventh cervical dorsal root ganglion,UBERON:0002843,Delete,,
seventh thoracic dorsal root ganglion,UBERON:0002850,Delete,,
sixth cervical dorsal root ganglion,UBERON:0007711,Delete,,
sixth thoracic dorsal root ganglion,UBERON:0002849,Delete,,
superior part of vestibular ganglion,UBERON:0002825,Delete,,
tenth thoracic dorsal root ganglion,UBERON:0002853,Delete,,
third cervical dorsal root ganglion,UBERON:0002840,Delete,,
third lumbar dorsal root ganglion,UBERON:0002858,Delete,,
third sacral dorsal root ganglion,UBERON:0002862,Delete,,
third thoracic dorsal root ganglion,UBERON:0002847,Delete,,
thoracic dorsal root ganglion,UBERON:0002835,Delete,,
thoracic ganglion,UBERON:0000961,Delete,,
trigeminal ganglion,UBERON:0001675,Delete,,
twelfth thoracic dorsal root ganglion,UBERON:0002855,Delete,,
ventral anterior lateral line ganglion,UBERON:2001313,Delete,,
vestibulo-cochlear VIII ganglion complex,UBERON:0013498,Delete,,
vestibulocochlear ganglion,UBERON:0002827,Delete,,
acoustico-facial VII-VIII ganglion complex,UBERON:0012175,Investigate,,
geniculate ganglion,UBERON:0001700,Investigate,ganglion of the facial nerve has taste,
superior glossopharyngeal IX ganglion,UBERON:0005361,Investigate,,
supraesophageal ganglion,UBERON:6003626,Investigate,,
trunk ganglion,UBERON:0007134,Investigate,,
vagal ganglion 1,UBERON:2001302,Investigate,"Will these give us anything more than just ""vagal ganglion""?",
vagal ganglion 2,UBERON:2001303,Investigate,,
vagal ganglion 3,UBERON:2001304,Investigate,,
vagal ganglion 4,UBERON:2001305,Investigate,,
vestibular ganglion,UBERON:0002827,Investigate,Aren't there a lot of autonomic consequences of vestibular problems?,
Parasympathetic ganglion,UBERON:0001808,Keep,,ganglion parasympathicum
accessory ciliary ganglion,UBERON:0035776,Keep,,
autonomic ganglion,UBERON:0001805,Keep,,"ganglion of visceral nervous system, ganglion autonomicum, ganglion of autonomic nervous system, visceral nervous system ganglion, autonomic nervous system ganglion"
cardiac ganglion,UBERON:0014463,Keep,,"cardiac ganglia set, ganglia cardiaca, cardiac ganglia, Wrisberg ganglion, ganglion of Wrisberg, cardiac ganglion of Wrisberg"
celiac ganglion,UBERON:0002262,Keep,,coeliac ganglion
ganglion of ciliary nerve,UBERON:0035783,Keep,,
glossopharyngeal ganglion,UBERON:0001701,Keep,,"ganglion of glosspharyngeal nerve, glossopharyngeal IX ganglion, gIX, petrosal ganglion, ganglion of glossopharyngeal nerve"
glossopharyngeal-vagus IX-X ganglion complex,UBERON:0013500,Keep,,glossopharyngeal-vagus ganglion complex
inferior cervical ganglion,UBERON:0002440,Keep,,"stellate ganglion, ganglion cervicale inferioris, variant cervical ganglion, cervico-thoracic ganglion, cervico-thoracic, ganglion cervicale inferius"
inferior glossopharyngeal IX ganglion,UBERON:0005360,Keep,,"glossopharyngeal nerve inferior ganglion, glossopharyngeal IX inferior ganglion, ganglion of andersch, ganglion inferius (nervus glossopharygeus), petrosal ganglion, inferior ganglion of glossopharyngeal nerve, extracraniale ganglion, ninth cranial nerve inferior ganglion, petrous ganglion, ganglion petrosum, inferior glossopharyngeal ganglion, inferior glossopharyngeal ganglion of the glossopharyngeal (IX) nerve, glossopharyngeal inferior ganglion, glossopharyngeal nerve petrous ganglion, ganglion inferius nervi glossopharyngei, ganglion inferius nervus glossopharyngei"
inferior mesenteric ganglion,UBERON:0005453,Keep,,ganglion mesentericum inferius
inferior vagus X ganglion,UBERON:0005363,Keep,,"nodose ganglion, inferior vagus X, ganglion nodosum, vagus nerve nodose ganglion, ganglion inferius (nervus vagus), inferior ganglion of vagus nerve, inferior ganglion of vagus, ganglion inferius nervus vagi, inferior vagus ganglion, nodose ganglia, tenth cranial nerve nodose ganglion, ganglion inferius nervi vagi, vagus X inferior ganglion, vagus nerve inferior ganglion"
mesenteric ganglion,UBERON:0035769,Keep,,
middle cervical ganglion,UBERON:0001990,Keep,,"ganglion cervicale medium, middle cervical sympathetic ganglion"
otic ganglion,UBERON:0003963,Keep,,"otic parasympathetic ganglion, Arnold's ganglion, ganglion oticum"
parasympathetic ganglion,UBERON:0001808,Keep,,ganglion parasympathicum
paravertebral ganglion,UBERON:0001807,Keep,,"ganglia of sympathetic trunk, ganglia trunci sympathici, sympathetic chain ganglia, ganglion of sympathetic trunk, ganglion trunci sympathici, paravertebral ganglion, paravertebral ganglia, sympathetic chain ganglion, ganglion trunci sympathetici"
pelvic ganglion,UBERON:0016508,Keep,,"pelvic ganglia, inferior hypogastric ganglion"
